profile_id,strategy,n_runs,mean_pairwise_jaccard
P0005,few_shot,3,0.6667
P0005,structured,3,0.6667
P0005,zero_shot,3,1.0
P0034,few_shot,3,0.6667
P0034,structured,3,1.0
P0034,zero_shot,3,1.0
P0037,few_shot,3,0.4667
P0037,structured,3,0.4667
P0037,zero_shot,3,0.6667
P0043,few_shot,3,1.0
P0043,structured,3,1.0
P0043,zero_shot,3,0.6667
P0072,few_shot,3,1.0
P0072,structured,3,0.6667
P0072,zero_shot,3,0.6667
P0075,few_shot,3,1.0
P0075,structured,3,1.0
P0075,zero_shot,3,0.6667
P0081,few_shot,3,1.0
P0081,structured,3,1.0
P0081,zero_shot,3,1.0
P0110,few_shot,3,1.0
P0110,structured,3,1.0
P0110,zero_shot,3,1.0
P0113,few_shot,3,1.0
P0113,structured,3,0.6667
P0113,zero_shot,3,1.0
P0119,few_shot,3,1.0
P0119,structured,3,0.6667
P0119,zero_shot,3,0.5
P0148,few_shot,3,1.0
P0148,structured,3,0.6667
P0148,zero_shot,3,0.6667
P0151,few_shot,3,1.0
P0151,structured,3,1.0
P0151,zero_shot,3,0.6667
P0157,few_shot,3,0.6667
P0157,structured,3,0.6667
P0157,zero_shot,3,1.0
P0166,few_shot,3,1.0
P0166,structured,3,1.0
P0166,zero_shot,3,1.0
P0170,few_shot,3,0.6667
P0170,structured,3,0.5
P0170,zero_shot,3,1.0
P0194,few_shot,3,0.6667
P0194,structured,3,0.6667
P0194,zero_shot,3,0.5
P0203,few_shot,3,0.6667
P0203,structured,3,1.0
P0203,zero_shot,3,0.5
P0207,few_shot,3,0.6667
P0207,structured,3,0.6667
P0207,zero_shot,3,0.6667
P0231,few_shot,3,1.0
P0231,structured,3,0.6667
P0231,zero_shot,3,1.0
P0240,few_shot,3,1.0
P0240,structured,3,1.0
P0240,zero_shot,3,1.0
P0244,few_shot,3,1.0
P0244,structured,3,0.6667
P0244,zero_shot,3,1.0
P0268,few_shot,3,0.4
P0268,structured,3,0.6667
P0268,zero_shot,3,1.0
P0277,few_shot,3,0.4
P0277,structured,3,0.6667
P0277,zero_shot,3,0.6667
P0281,few_shot,3,0.4667
P0281,structured,3,0.6667
P0281,zero_shot,3,1.0
