profile_id,strategy,n_claims_checked,n_correct,n_incorrect,n_uncertain,has_checkable_claims,no_errors,error_detail
P0001,zero_shot,0,0,0,0,False,True,
P0001,structured,3,3,0,0,True,True,
P0001,few_shot,0,0,0,0,False,True,
P0002,zero_shot,0,0,0,0,False,True,
P0002,structured,3,3,0,0,True,True,
P0002,few_shot,0,0,0,0,False,True,
P0003,zero_shot,0,0,0,0,False,True,
P0003,structured,3,3,0,0,True,True,
P0003,few_shot,0,0,0,0,False,True,
P0004,zero_shot,0,0,0,0,False,True,
P0004,structured,3,3,0,0,True,True,
P0004,few_shot,0,0,0,0,False,True,
P0005,zero_shot,0,0,0,0,False,True,
P0005,structured,3,3,0,0,True,True,
P0005,few_shot,0,0,0,0,False,True,
P0006,zero_shot,0,0,0,0,False,True,
P0006,structured,3,3,0,0,True,True,
P0006,few_shot,0,0,0,0,False,True,
P0007,zero_shot,0,0,0,0,False,True,
P0007,structured,3,3,0,0,True,True,
P0007,few_shot,0,0,0,0,False,True,
P0008,zero_shot,0,0,0,0,False,True,
P0008,structured,3,3,0,0,True,True,
P0008,few_shot,0,0,0,0,False,True,
P0009,zero_shot,0,0,0,0,False,True,
P0009,structured,3,3,0,0,True,True,
P0009,few_shot,0,0,0,0,False,True,
P0010,zero_shot,0,0,0,0,False,True,
P0010,structured,3,3,0,0,True,True,
P0010,few_shot,0,0,0,0,False,True,
P0011,zero_shot,0,0,0,0,False,True,
P0011,structured,3,3,0,0,True,True,
P0011,few_shot,0,0,0,0,False,True,
P0012,zero_shot,0,0,0,0,False,True,
P0012,structured,3,3,0,0,True,True,
P0012,few_shot,0,0,0,0,False,True,
P0013,zero_shot,0,0,0,0,False,True,
P0013,structured,3,3,0,0,True,True,
P0013,few_shot,0,0,0,0,False,True,
P0014,zero_shot,0,0,0,0,False,True,
P0014,structured,3,3,0,0,True,True,
P0014,few_shot,0,0,0,0,False,True,
P0015,zero_shot,0,0,0,0,False,True,
P0015,structured,3,3,0,0,True,True,
P0015,few_shot,0,0,0,0,False,True,
P0016,zero_shot,0,0,0,0,False,True,
P0016,structured,3,3,0,0,True,True,
P0016,few_shot,0,0,0,0,False,True,
P0017,zero_shot,0,0,0,0,False,True,
P0017,structured,3,3,0,0,True,True,
P0017,few_shot,0,0,0,0,False,True,
P0018,zero_shot,0,0,0,0,False,True,
P0018,structured,3,3,0,0,True,True,
P0018,few_shot,0,0,0,0,False,True,
P0019,zero_shot,0,0,0,0,False,True,
P0019,structured,3,3,0,0,True,True,
P0019,few_shot,0,0,0,0,False,True,
P0020,zero_shot,0,0,0,0,False,True,
P0020,structured,3,3,0,0,True,True,
P0020,few_shot,0,0,0,0,False,True,
P0021,zero_shot,0,0,0,0,False,True,
P0021,structured,3,3,0,0,True,True,
P0021,few_shot,0,0,0,0,False,True,
