profile_id,prompt_type,recommendation
P001,zero_shot,Try CC006
P001,structured,"1. CC009
2. CC001
3. CC003"
P001,few_shot,"Recommended: CC009, CC003, CC006"
P002,zero_shot,Try CC012
P002,structured,"1. CC009
2. CC001
3. CC003"
P002,few_shot,"Recommended: CC009, CC003, CC012"
P003,zero_shot,Try CC012
P003,structured,"1. CC003
2. CC001
3. CC010"
P003,few_shot,"Recommended: CC003, CC010, CC012"
P004,zero_shot,Try CC010
P004,structured,"1. CC003
2. CC001
3. CC012"
P004,few_shot,"Recommended: CC003, CC012, CC010"
P005,zero_shot,Try CC009
P005,structured,"1. CC003
2. CC001
3. CC012"
P005,few_shot,"Recommended: CC003, CC012, CC009"
P006,zero_shot,Try CC010
P006,structured,"1. CC003
2. CC001
3. CC012"
P006,few_shot,"Recommended: CC003, CC012, CC010"
P007,zero_shot,Try CC012
P007,structured,"1. CC009
2. CC001
3. CC003"
P007,few_shot,"Recommended: CC009, CC003, CC012"
P008,zero_shot,Try CC012
P008,structured,"1. CC010
2. CC001
3. CC003"
P008,few_shot,"Recommended: CC010, CC003, CC012"
P009,zero_shot,Try CC012
P009,structured,"1. CC003
2. CC001
3. CC009"
P009,few_shot,"Recommended: CC003, CC009, CC012"
P010,zero_shot,Try CC012
P010,structured,"1. CC010
2. CC001
3. CC003"
P010,few_shot,"Recommended: CC010, CC003, CC012"
P011,zero_shot,Try CC012
P011,structured,"1. CC003
2. CC001
3. CC010"
P011,few_shot,"Recommended: CC003, CC010, CC012"
P012,zero_shot,Try CC010
P012,structured,"1. CC003
2. CC001
3. CC012"
P012,few_shot,"Recommended: CC003, CC012, CC010"
P013,zero_shot,Try CC012
P013,structured,"1. CC010
2. CC001
3. CC003"
P013,few_shot,"Recommended: CC010, CC003, CC012"
P014,zero_shot,Try CC007
P014,structured,"1. CC010
2. CC001
3. CC003"
P014,few_shot,"Recommended: CC010, CC003, CC007"
P015,zero_shot,Try CC009
P015,structured,"1. CC003
2. CC001
3. CC012"
P015,few_shot,"Recommended: CC003, CC012, CC009"
P016,zero_shot,Try CC012
P016,structured,"1. CC003
2. CC001
3. CC010"
P016,few_shot,"Recommended: CC003, CC010, CC012"
P017,zero_shot,Try CC009
P017,structured,"1. CC003
2. CC001
3. CC012"
P017,few_shot,"Recommended: CC003, CC012, CC009"
P018,zero_shot,Try CC012
P018,structured,"1. CC003
2. CC001
3. CC009"
P018,few_shot,"Recommended: CC003, CC009, CC012"
P019,zero_shot,Try CC012
P019,structured,"1. CC003
2. CC001
3. CC010"
P019,few_shot,"Recommended: CC003, CC010, CC012"
P020,zero_shot,Try CC007
P020,structured,"1. CC010
2. CC001
3. CC003"
P020,few_shot,"Recommended: CC010, CC003, CC007"
P021,zero_shot,Try CC012
P021,structured,"1. CC010
2. CC001
3. CC003"
P021,few_shot,"Recommended: CC010, CC003, CC012"
P022,zero_shot,Try CC012
P022,structured,"1. CC003
2. CC001
3. CC010"
P022,few_shot,"Recommended: CC003, CC010, CC012"
P023,zero_shot,Try CC012
P023,structured,"1. CC010
2. CC001
3. CC003"
P023,few_shot,"Recommended: CC010, CC003, CC012"
P024,zero_shot,Try CC012
P024,structured,"1. CC003
2. CC001
3. CC009"
P024,few_shot,"Recommended: CC003, CC009, CC012"
P025,zero_shot,Try CC007
P025,structured,"1. CC010
2. CC001
3. CC003"
P025,few_shot,"Recommended: CC010, CC003, CC007"
P026,zero_shot,Try CC012
P026,structured,"1. CC010
2. CC001
3. CC003"
P026,few_shot,"Recommended: CC010, CC003, CC012"
P027,zero_shot,Try CC012
P027,structured,"1. CC003
2. CC001
3. CC010"
P027,few_shot,"Recommended: CC003, CC010, CC012"
P028,zero_shot,Try CC012
P028,structured,"1. CC003
2. CC001
3. CC010"
P028,few_shot,"Recommended: CC003, CC010, CC012"
P029,zero_shot,Try CC012
P029,structured,"1. CC003
2. CC001
3. CC010"
P029,few_shot,"Recommended: CC003, CC010, CC012"
P030,zero_shot,Try CC007
P030,structured,"1. CC010
2. CC001
3. CC003"
P030,few_shot,"Recommended: CC010, CC003, CC007"
P031,zero_shot,Try CC012
P031,structured,"1. CC010
2. CC001
3. CC003"
P031,few_shot,"Recommended: CC010, CC003, CC012"
P032,zero_shot,Try CC012
P032,structured,"1. CC003
2. CC001
3. CC010"
P032,few_shot,"Recommended: CC003, CC010, CC012"
P033,zero_shot,Try CC012
P033,structured,"1. CC003
2. CC001
3. CC009"
P033,few_shot,"Recommended: CC003, CC009, CC012"
P034,zero_shot,Try CC012
P034,structured,"1. CC010
2. CC001
3. CC003"
P034,few_shot,"Recommended: CC010, CC003, CC012"
P035,zero_shot,Try CC009
P035,structured,"1. CC003
2. CC001
3. CC012"
P035,few_shot,"Recommended: CC003, CC012, CC009"
P036,zero_shot,Try CC012
P036,structured,"1. CC003
2. CC001
3. CC010"
P036,few_shot,"Recommended: CC003, CC010, CC012"
P037,zero_shot,Try CC009
P037,structured,"1. CC003
2. CC001
3. CC012"
P037,few_shot,"Recommended: CC003, CC012, CC009"
P038,zero_shot,Try CC012
P038,structured,"1. CC003
2. CC001
3. CC010"
P038,few_shot,"Recommended: CC003, CC010, CC012"
P039,zero_shot,Try CC010
P039,structured,"1. CC003
2. CC001
3. CC012"
P039,few_shot,"Recommended: CC003, CC012, CC010"
P040,zero_shot,Try CC012
P040,structured,"1. CC010
2. CC001
3. CC003"
P040,few_shot,"Recommended: CC010, CC003, CC012"
P041,zero_shot,Try CC012
P041,structured,"1. CC003
2. CC001
3. CC010"
P041,few_shot,"Recommended: CC003, CC010, CC012"
P042,zero_shot,Try CC012
P042,structured,"1. CC009
2. CC001
3. CC003"
P042,few_shot,"Recommended: CC009, CC003, CC012"
P043,zero_shot,Try CC012
P043,structured,"1. CC010
2. CC001
3. CC003"
P043,few_shot,"Recommended: CC010, CC003, CC012"
P044,zero_shot,Try CC012
P044,structured,"1. CC003
2. CC001
3. CC010"
P044,few_shot,"Recommended: CC003, CC010, CC012"
P045,zero_shot,Try CC012
P045,structured,"1. CC003
2. CC001
3. CC009"
P045,few_shot,"Recommended: CC003, CC009, CC012"
P046,zero_shot,Try CC012
P046,structured,"1. CC003
2. CC001
3. CC010"
P046,few_shot,"Recommended: CC003, CC010, CC012"
P047,zero_shot,Try CC010
P047,structured,"1. CC003
2. CC001
3. CC012"
P047,few_shot,"Recommended: CC003, CC012, CC010"
P048,zero_shot,Try CC012
P048,structured,"1. CC003
2. CC001
3. CC010"
P048,few_shot,"Recommended: CC003, CC010, CC012"
P049,zero_shot,Try CC012
P049,structured,"1. CC010
2. CC001
3. CC003"
P049,few_shot,"Recommended: CC010, CC003, CC012"
P050,zero_shot,Try CC010
P050,structured,"1. CC003
2. CC001
3. CC012"
P050,few_shot,"Recommended: CC003, CC012, CC010"
P051,zero_shot,Try CC012
P051,structured,"1. CC010
2. CC001
3. CC003"
P051,few_shot,"Recommended: CC010, CC003, CC012"
P052,zero_shot,Try CC012
P052,structured,"1. CC003
2. CC001
3. CC010"
P052,few_shot,"Recommended: CC003, CC010, CC012"
P053,zero_shot,Try CC012
P053,structured,"1. CC010
2. CC001
3. CC003"
P053,few_shot,"Recommended: CC010, CC003, CC012"
P054,zero_shot,Try CC012
P054,structured,"1. CC003
2. CC001
3. CC010"
P054,few_shot,"Recommended: CC003, CC010, CC012"
P055,zero_shot,Try CC012
P055,structured,"1. CC010
2. CC001
3. CC003"
P055,few_shot,"Recommended: CC010, CC003, CC012"
P056,zero_shot,Try CC007
P056,structured,"1. CC010
2. CC001
3. CC003"
P056,few_shot,"Recommended: CC010, CC003, CC007"
P057,zero_shot,Try CC007
P057,structured,"1. CC010
2. CC001
3. CC003"
P057,few_shot,"Recommended: CC010, CC003, CC007"
P058,zero_shot,Try CC012
P058,structured,"1. CC003
2. CC001
3. CC010"
P058,few_shot,"Recommended: CC003, CC010, CC012"
P059,zero_shot,Try CC010
P059,structured,"1. CC003
2. CC001
3. CC012"
P059,few_shot,"Recommended: CC003, CC012, CC010"
P060,zero_shot,Try CC009
P060,structured,"1. CC003
2. CC001
3. CC012"
P060,few_shot,"Recommended: CC003, CC012, CC009"
P061,zero_shot,Try CC012
P061,structured,"1. CC003
2. CC001
3. CC010"
P061,few_shot,"Recommended: CC003, CC010, CC012"
P062,zero_shot,Try CC012
P062,structured,"1. CC009
2. CC001
3. CC003"
P062,few_shot,"Recommended: CC009, CC003, CC012"
P063,zero_shot,Try CC012
P063,structured,"1. CC003
2. CC001
3. CC010"
P063,few_shot,"Recommended: CC003, CC010, CC012"
P064,zero_shot,Try CC012
P064,structured,"1. CC003
2. CC001
3. CC010"
P064,few_shot,"Recommended: CC003, CC010, CC012"
P065,zero_shot,Try CC007
P065,structured,"1. CC010
2. CC001
3. CC003"
P065,few_shot,"Recommended: CC010, CC003, CC007"
P066,zero_shot,Try CC012
P066,structured,"1. CC003
2. CC001
3. CC009"
P066,few_shot,"Recommended: CC003, CC009, CC012"
P067,zero_shot,Try CC012
P067,structured,"1. CC010
2. CC001
3. CC003"
P067,few_shot,"Recommended: CC010, CC003, CC012"
P068,zero_shot,Try CC012
P068,structured,"1. CC010
2. CC001
3. CC003"
P068,few_shot,"Recommended: CC010, CC003, CC012"
P069,zero_shot,Try CC012
P069,structured,"1. CC003
2. CC001
3. CC010"
P069,few_shot,"Recommended: CC003, CC010, CC012"
P070,zero_shot,Try CC012
P070,structured,"1. CC003
2. CC001
3. CC010"
P070,few_shot,"Recommended: CC003, CC010, CC012"
P071,zero_shot,Try CC010
P071,structured,"1. CC003
2. CC001
3. CC012"
P071,few_shot,"Recommended: CC003, CC012, CC010"
P072,zero_shot,Try CC012
P072,structured,"1. CC003
2. CC001
3. CC009"
P072,few_shot,"Recommended: CC003, CC009, CC012"
P073,zero_shot,Try CC010
P073,structured,"1. CC003
2. CC001
3. CC012"
P073,few_shot,"Recommended: CC003, CC012, CC010"
P074,zero_shot,Try CC012
P074,structured,"1. CC010
2. CC001
3. CC003"
P074,few_shot,"Recommended: CC010, CC003, CC012"
P075,zero_shot,Try CC012
P075,structured,"1. CC003
2. CC001
3. CC010"
P075,few_shot,"Recommended: CC003, CC010, CC012"
P076,zero_shot,Try CC012
P076,structured,"1. CC003
2. CC001
3. CC010"
P076,few_shot,"Recommended: CC003, CC010, CC012"
P077,zero_shot,Try CC012
P077,structured,"1. CC010
2. CC001
3. CC003"
P077,few_shot,"Recommended: CC010, CC003, CC012"
P078,zero_shot,Try CC012
P078,structured,"1. CC010
2. CC001
3. CC003"
P078,few_shot,"Recommended: CC010, CC003, CC012"
P079,zero_shot,Try CC012
P079,structured,"1. CC003
2. CC001
3. CC010"
P079,few_shot,"Recommended: CC003, CC010, CC012"
P080,zero_shot,Try CC010
P080,structured,"1. CC003
2. CC001
3. CC012"
P080,few_shot,"Recommended: CC003, CC012, CC010"
