segment,prompt_type,n_profiles,mean_overlap,mean_top1
balanced_cashback,few_shot,38,0.6667,0.0
balanced_cashback,structured,38,0.5877,0.0
balanced_cashback,zero_shot,38,0.7983,0.3684
dining_heavy,few_shot,37,0.6397,0.0
dining_heavy,structured,37,0.2612,0.0
dining_heavy,zero_shot,37,0.6397,0.5676
family_grocery_heavy,few_shot,38,0.6842,0.0
family_grocery_heavy,structured,38,0.579,0.0
family_grocery_heavy,zero_shot,38,0.7281,0.0
fuel_commuter,few_shot,37,1.0,0.0
fuel_commuter,structured,37,0.982,0.0811
fuel_commuter,zero_shot,37,0.991,0.0811
large_purchase_planner,few_shot,37,0.3333,0.1622
large_purchase_planner,structured,37,0.2613,0.027
large_purchase_planner,zero_shot,37,0.3423,0.0541
online_shopper,few_shot,37,0.6847,0.027
online_shopper,structured,37,0.8018,0.4324
online_shopper,zero_shot,37,0.7658,0.1622
student_low_spend,few_shot,38,0.0,0.0
student_low_spend,structured,38,0.2894,0.0
student_low_spend,zero_shot,38,0.579,0.2368
traveller_frequent,few_shot,38,0.3158,0.0
traveller_frequent,structured,38,0.3772,0.0789
traveller_frequent,zero_shot,38,0.6492,0.9737
